time;renderer_bypass;upstream_bypass;integrator_bypass;tracer_bypass;tracer_not_present;auto_zoom;auto_tracking;tracer_manual_bypass;unknown_cam;period;gameclock_minute;gameclock_second;stopped
331;0;0;0;0;0;0;0;0;0;1;16;25;False
332;0;0;0;0;0;0;0;0;0;1;16;24;False
333;0;0;0;0;0;0;0;0;0;1;16;23;False
334;0;0;0;0;0;0;0;0;0;1;16;22;False
335;0;0;0;0;0;0;0;0;0;1;16;21;False
336;0;0;0;0;0;0;0;0;0;1;16;20;False
337;0;0;0;0;0;0;0;0;0;1;16;19;False
338;0;0;0;0;0;0;0;0;0;1;16;18;False
339;0;0;0;0;0;0;0;0;0;1;16;17;False
340;0;0;0;0;0;0;0;0;0;1;16;16;False
341;0;0;0;0;0;0;0;0;0;1;16;15;False
342;0;0;0;0;0;0;0;0;0;1;16;14;False
343;0;0;0;0;0;0;0;0;0;1;16;13;False
344;0;0;0;0;0;0;0;0;0;1;16;12;False
345;0;0;0;0;0;0;0;0;0;1;16;11;False
346;0;0;0;0;0;0;0;0;0;1;16;10;False
347;0;0;0;0;0;0;0;0;0;1;16;9;False
348;0;0;0;0;0;0;0;0;0;1;16;8;False
349;0;0;0;0;0;0;0;0;0;1;16;7;False
350;0;0;0;0;0;0;0;0;0;1;16;6;False
351;0;0;0;0;0;0;0;0;0;1;16;5;False
352;0;0;0;0;0;0;0;0;0;1;16;4;False
353;0;0;0;0;0;0;0;0;0;1;16;3;False
354;0;0;0;0;0;0;0;0;0;1;16;2;False
355;0;0;0;0;0;0;0;0;0;1;16;1;False
356;0;0;0;0;0;0;0;0;0;1;16;0;False
357;0;0;0;0;0;0;0;0;0;1;15;59;False
358;0;0;0;0;0;0;0;0;0;1;15;58;False
359;0;0;0;0;0;0;0;0;0;1;15;57;False
360;0;0;0;0;0;0;0;0;0;1;15;56;False
361;0;0;0;0;0;0;0;0;0;1;15;55;False
362;0;0;0;0;0;0;0;0;0;1;15;54;False
363;0;0;0;0;0;0;0;0;0;1;15;53;False
364;0;0;0;0;0;0;0;0;0;1;15;52;False
365;0;0;0;0;0;0;0;0;0;1;15;51;False
366;0;0;0;0;0;0;0;0;0;1;15;50;False
367;0;0;0;0;0;0;0;0;0;1;15;49;False
368;0;0;0;0;0;0;0;0;0;1;15;48;False
369;0;0;0;0;0;0;0;0;0;1;15;47;False
370;0;0;0;0;0;0;0;0;0;1;15;46;False
371;0;0;0;0;0;0;0;0;0;1;15;45;False
372;0;0;0;0;0;0;0;0;0;1;15;44;False
373;0;0;0;0;0;0;0;0;0;1;15;43;False
